product_id,product_name,category,discounted_price,actual_price,avg_rating,unique_reviewers,rating_count_sum,median_review_length,aggregated_reviews,total_review_rows
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507.0,1208.0,4.1,8,130096.0,69.5,good tool to use for good quality tool from d linkwifi signal is good ||| brand is always good nice product ||| overall good and a better experience overall good and a better experience ||| it is useful to me. it funcions properly and useful to me. ||| works well with cpplus dvr i you want to buy it for cp plus orange dvr ||| good it works. ||| its not plug an play u need to install the driver and will support till 2.4 ghz not above that nice ||| surveillance camera in my house its not plug an play u need to install the driver and will support till 2.4 ghz not above that. im using in jio wifi so its not supporting 5g connectivity as its 3.0 ||| good tool to use for good quality tool from d linkwifi signal is good ||| brand is always good nice product ||| overall good and a better experience overall good and a better experience ||| it is useful to me. it funcions properly and useful to me. ||| works well with cpplus dvr i you want to buy it for cp plus orange dvr ||| good it works. ||| its not plug an play u need to install the driver and will support till 2.4 ghz not above that nice ||| surveillance camera in my house its not plug an play u need to install the driver and will support till 2.4 ghz not above that. im using in jio wifi so its not supporting 5g connectivity as its 3.0,16
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749.0,1339.0,4.2,8,1437536.0,112.5,works on linux for me. get the model with antenna. i use this to connect an old pc to internet. i tried lubuntu 20 and ubuntu 22 ||| does what it say but other brands available at lesser price it worked out of the box in both ||| easy handle didn't have to do any setup. there's an extender cable so you can place this in a comfortable place. get the model with antenna because otherwise you'll have range problems if you're not directly in line of sight from your wifi router. ||| great product the wifi dongle is a simple plug & play device ||| perfect working will start catching available networks right after you plug it into your usb port ||| speed is perfect no additional installations/ softwares requires. signal strength is good.... just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing ||| great design hence a star less. ||| build pros:*easy to use & portable*can be connected to mobile hotspot and used in pc( budget friendly)*less installation process*no heating issues & good coverage*best alternative for usb tethering (phone's battery may get damaged for long term run with tethering)cons:*internet connection speed varies at times,8
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,399.0,499.0,4.3,8,217608.0,59.5,works good works good ||| perfect replacement cell for trimmer bought it to replace my phillips qt4005 trimmer's 7yr old battery cell.old trimmer battery lost it torque... would not start without smacking it on the hand.soldering the connections was bit tricky but i got it done by sanding both side surfaces of the new battery cell.new duracell one does its job..trimmer works now like its supposed to.its lasts more than 30+ minutes easily.charges like its supposed to.i am satisfied with it. saved an electronic device from being obsolete.if you want more performance..maybe get 900mah cell....but for me thats expensive...750mah is enough.long term performance is to be seen. ||| wow used for my philips trimmer. gives a backup of more than 4-5 days ||| as they said in ad worth it really amezimg performance. i did not expected this much good and long performance. i am using diff company charger still these batteries fit well. and works for months. good performance in good price ||| a good product charging is godd and battery is lasting longer after one charge ||| fit for phillips trimmer. ||| good good ||| good product it shows good battery life as of now.,8
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",279.0,375.0,4.3,8,252272.0,47.0,handy mouse liked this product ||| good quality mouse ||| good one. purchased for a laptop. perfectly working ||| good good ||| good cheap reliable very good mouse for a budget setup. ||| gud quality mouse usefull . ... gud quality ||| very comfortable the good thing about this mouse is that u can remove the scrolling clip attached inside the scrolling wheel and the wheel becomes very smooth to scroll ||| quality + less price makes it best to buy. the best of this mouse is its quality as per description,8
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",699.0,995.0,4.5,8,435240.0,67.0,good silent mouse it's little small for big hands. but best available in the market. ||| too small to hold! good product ||| reviewing after 8 months of with battery backup review but too smaller than the regular one! ||| its very small do take note of that hello everyone ||| ** nice product i bought this mouse in april 2022 ||| good product so after 8 months of use ||| good buy for normal use in office i'm writing this review.battery (the most important one): 10/10 - it came with a single aa-sized battery (clock battery) that worked from 1st april - 10th december which is more than 8 months. even though my usage was heavy (6 hours average per day) in a corporate job day of 9 hours.look 7/10- amazing with beautiful curves. though battery closing pane could have been better.usb transmitter: 9/10 - it's normal and can be carried inside the battery cavity.switch: 5/10 - on/off switch is not handy ||| stylish mouse you need a long nail to switch it on/off but is strong enough to resist a hard stroke when you force it to off with your nailless fingers.precision and laser: 10/10: precision is just what most mouses have which is accurate and the laser is invisible (no annoying light in the bottom).buttons: 7/10 - buttons produce a slight noise on click and after a long usage the left button is shaking slightly.overall ratings: 9/10the main reason for you to buy this: its battery efficiency,8
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,289.0,650.0,4.3,8,2024840.0,45.0,good product very chip very good ||| affordable really happy to buy this pen drive comparatively with low cost ||| good very good ||| reding speed is only under 22mb/s storage capacity is good ||| good product 👍 like ||| good good ||| good product and value for money good product and value for money ||| all about it is very good product in suitable price. it's all good,8
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416.0,599.0,4.2,8,240184.0,81.5,value for money using with my xbox and it's working perfectly ||| a good upgrade from stock cable. a good upgrade from stock cable which i got from samsung. the sound quality has definitely improved in the soundbar. it is loud enough between 10-15 volume. however the subwoofer output has not improved significantly. ||| good cable i got normal instead of premium cable with small size. but luckily i get use to it. ||| value for the money works really well. ||| great buy absolutely top class for the money spent. no loss of signal ||| overall good as good as if there is no splitter involved. fantastic buy as most tvs have only one optical output. ||| awesome experience getting proper 5.1 channel surround sound.channel seperation is great.i'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound bar ||| worked as expected worked as expected with my lg tv,8
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486.0,1999.0,4.2,8,240184.0,81.5,value for money using with my xbox and it's working perfectly ||| a good upgrade from stock cable. a good upgrade from stock cable which i got from samsung. the sound quality has definitely improved in the soundbar. it is loud enough between 10-15 volume. however the subwoofer output has not improved significantly. ||| good cable i got normal instead of premium cable with small size. but luckily i get use to it. ||| value for the money works really well. ||| great buy absolutely top class for the money spent. no loss of signal ||| overall good as good as if there is no splitter involved. fantastic buy as most tvs have only one optical output. ||| awesome experience getting proper 5.1 channel surround sound.channel seperation is great.i'm using it in jio setbox with zebronics zuke 9400 pro 5.1 sound bar ||| worked as expected worked as expected with my lg tv,8
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399.0,795.0,4.4,8,96728.0,90.0,good good packaging.. wire quality is good. ||| good quality very good quality but the wire is 15 meters only at least should be 20 meters for the price......😓 ||| amazing i am using this with an f&d a140x as my satellite speakers' wires were getting very flimsy. out of the box these cables are very thick compared to the ones my speakers had before.after replacing the cables with these ones i noticed two things right away1. my speakers are louder2. the sound quality is much betterone thing you wanna be careful is that these cables stick out like a sore thumb in front of white walls ||| wire cost so if you are like me who cares about the looks ||| quality and performance is excellent. you might wanna cover these with cable raceways or even paint them like i am planning to do. ||| really impressive wire is very best quality but cost not worth for it ||| good and cheap! durability n quality is absolutely good. ||| good one the product is 16 gauge pure copper multi thread wires. sound quality is impressive.bears a black band for +ve/-ve distinction,8
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,1499.0,1499.0,4.3,8,74648.0,44.0,value to buy good and easy to use ||| best quality very good ||| nothing good. ||| it's good overall a good product to buy. just not understanding what temperature is best. sometimes it burns the bread at 2 ||| perfect for making toasts sometimes 2 gives the best roast and sometimes it doesn't roast the whole bread. so ||| great product. a little confused with that. ||| working fine as expected it's a simple device ||| excellent functions as it should. setting the temperature and cleaning are easy.,8
